cycle_1_lane	cycle_2_lane	cycle_3_lane	fitness_mode	fitness_mean	fitness_minimum_stdev
12	5	2	0.0	0.17081775416712966	0.17081775416712966
12	5	3	0.0	0.11951035600844717	0.11951035600844716
12	5	4	0.0	0.11176284308227492	0.11176284308227492
12	5	5	0.0	0.1236466590623522	0.12364665906235218
12	5	6	0.0	0.13354659855403084	0.13354659855403087
12	5	7	0.0	0.12646937497055336	0.12646937497055333
12	5	8	0.0	0.1419713392972364	0.14197133929723643
12	5	9	0.0	0.13667993939496273	0.13667993939496273
12	5	10	0.0	0.12014414900465836	0.12014414900465836
12	5	11	0.0	0.11443725574871413	0.11443725574871412
12	5	12	0.0	0.1799762717417272	0.1799762717417272
12	5	13	0.319547337574678	0.5655668561147049	0.3918327410935249
12	5	14	0.0	0.23236109334105629	0.23236109334105629
12	5	15	0.0	0.11692342523783483	0.11692342523783483
12	5	16	0.0	0.14208292612475526	0.14208292612475526
12	5	17	0.0	0.11998963863324967	0.11998963863324967
12	5	18	0.4567281575929081	0.8081878129225486	0.5579875154838564
12	5	19	0.0	0.15538570041379707	0.15538570041379707
12	5	20	0.0	0.13725009815148448	0.13725009815148448
12	6	1	0.0	0.17018059927647627	0.17018059927647627
12	6	2	0.0	0.21537199964842962	0.21537199964842962
12	6	3	0.0	0.15315394301903903	0.15315394301903903
12	6	4	0.0	0.1435810705546116	0.1435810705546116
12	6	5	0.0	0.1582453902812656	0.1582453902812656
12	6	6	0.0	0.1703769549628686	0.1703769549628686
12	6	7	0.0	0.16171220681526122	0.16171220681526122
12	6	8	0.0	0.18064073043021625	0.18064073043021625
12	6	9	0.0	0.17420069484809655	0.17420069484809655
12	6	10	0.0	0.15393496327924003	0.15393496327924003
12	6	11	0.0	0.1468909591278735	0.1468909591278735
12	6	12	0.0	0.2262674667711282	0.22626746677112816
12	6	13	0.2576671140543594	0.8907916125715598	0.6614097356249329
12	6	14	0.0	0.28740373118284984	0.28740373118284984
12	6	15	0.0	0.14996279448378633	0.14996279448378635
12	6	16	2.530868300112121	2.7116446072629876	0.7001436269841793
12	6	17	0.0	0.15374459001537352	0.15374459001537355
12	6	18	0.0	0.47052789401340434	0.42783284945184713
12	6	19	0.0	0.19687049229155862	0.19687049229155865
12	6	20	0.0	0.1748956629242641	0.1748956629242641
12	7	1	0.0	0.16369388137417992	0.16369388137417995
12	7	2	3.944279551153948	4.1518732117409956	0.928387073541325
12	7	3	0.0	0.14720109899884407	0.14720109899884407
12	7	4	0.0	0.13793970139055964	0.13793970139055964
12	7	5	0.0	0.15213020073981026	0.1521302007398103
12	7	6	0.0	0.1638842307634353	0.1638842307634353
12	7	7	0.0	0.15548779349189065	0.15548779349189065
12	7	8	0.0	0.17383883192374566	0.17383883192374566
12	7	9	0.0	0.16759169140588795	0.16759169140588795
12	7	10	0.0	0.1479570661083771	0.1479570661083771
12	7	11	0.0	0.14114097509334458	0.14114097509334458
12	7	12	0.018116394417603876	0.39797722246340084	0.3373116349826597
12	7	13	0.0	0.2986172518648851	0.2718955712398837
12	7	14	0.0	0.2779454526747902	0.2779454526747902
12	7	15	0.0	0.14411287746711143	0.14411287746711143
12	7	16	0.0	0.17397038752748545	0.17397038752748545
12	7	17	0.0	0.1477727945408762	0.1477727945408762
12	7	18	0.0	0.5943363877249501	0.49761383179197854
12	7	19	0.0	0.18959888619329174	0.18959888619329174
12	7	20	0.0	0.1682656655197166	0.1682656655197166
