cycle_1_lane	cycle_2_lane	cycle_3_lane	fitness	clean_reads
2	16	5	0.0000	0.0000
2	16	6	0.3376	1.0000
2	16	20	0.2805	1.0000
2	17	1	0.4838	3.0000
2	17	5	0.0000	0.0000
2	17	11	0.0000	0.0000
2	17	16	0.2297	1.3509
2	18	5	0.0000	0.0000
2	18	8	0.5011	2.0000
2	19	5	0.0000	0.0000
2	19	6	0.3874	1.0000
2	19	7	4.7060	16.0000
2	20	5	0.0000	0.0000
3	1	3	0.9416	4.0000
3	1	4	0.5268	3.0000
3	1	11	0.0000	0.0000
3	1	14	15.6676	43.0000
3	1	16	0.3992	2.0000
3	1	19	0.3257	1.1312
3	2	2	0.3266	1.0000
3	2	4	0.0000	0.0000
3	2	6	0.0000	0.0000
3	2	11	0.0000	0.0000
3	2	14	1.4545	4.0000
3	2	16	0.3982	2.0000
3	3	11	0.0000	0.0000
3	3	14	0.3103	0.9988
3	3	16	0.6556	4.0000
3	4	8	12.8781	63.0000
3	4	11	0.0000	0.0000
3	5	11	0.0000	0.0000
3	5	19	103.1133	445.0000
3	6	10	31.6949	168.0000
3	6	11	0.0000	0.0000
3	6	18	0.3018	1.6095
3	7	5	1.3797	7.0000
3	7	11	0.0000	0.0000
3	7	16	0.1737	1.0000
3	7	17	0.2582	1.0000
3	7	19	0.5083	2.0000
3	8	11	0.0000	0.0000
3	8	14	0.0000	0.0000
3	9	10	0.0000	0.0000
3	9	11	0.0000	0.0000
3	9	19	0.0000	0.0000
3	9	20	0.0000	0.0000
3	10	11	0.0000	0.0000
3	10	12	0.2026	1.0000
3	10	17	0.4090	2.0000
3	11	2	0.0000	0.0000
3	11	3	0.1731	1.0000
3	11	10	0.0000	0.0000
3	11	11	0.0000	0.0000
3	11	12	0.2173	1.0000
3	11	16	0.1450	1.0000
3	11	17	0.2193	1.0000
3	12	2	2.3626	9.0000
3	12	11	0.0000	0.0000
3	12	16	0.1543	1.0000
3	13	11	0.0000	0.0000
3	14	1	0.0000	0.0000
3	14	2	0.0000	0.0000
3	14	3	0.0000	0.0000
3	14	4	0.0000	0.0000
3	14	5	0.0000	0.0000
3	14	6	0.0000	0.0000
3	14	7	0.0000	0.0000
3	14	8	0.0915	0.2731
3	14	9	0.0000	0.0000
3	14	10	0.0000	0.0000
3	14	11	0.0000	0.0000
3	14	12	0.0000	0.0000
3	14	13	0.0000	0.0000
3	14	14	0.0000	0.0000
3	14	15	0.4911	1.3189
3	14	16	84.1088	273.7826
3	14	17	0.0000	0.0000
3	14	18	0.0934	0.2733
3	14	19	0.0000	0.0000
3	14	20	0.0000	0.0000
3	15	11	0.0000	0.0000
3	15	16	0.3652	2.0000
3	15	17	0.2767	1.0248
3	16	3	2.6287	14.0000
3	16	4	0.9653	7.0000
3	16	11	0.0000	0.0000
3	16	16	0.4732	3.0000
3	17	1	0.2971	2.0000
3	17	11	0.0000	0.0000
3	17	12	1.8664	8.0000
3	17	16	0.0927	0.5914
3	18	2	1.7121	5.0000
3	18	11	0.0000	0.0000
3	18	14	0.3802	1.0000
3	18	20	0.3351	1.0000
3	19	11	0.0000	0.0000
3	19	16	0.3771	2.0000
3	20	9	166.4879	676.0001
3	20	11	0.0000	0.0000
3	20	16	0.1778	1.0000
4	1	9	0.2567	1.0000
4	1	15	0.9365	4.0000
4	1	19	0.3571	1.3211
4	2	1	0.1761	1.0000
4	2	4	0.0000	0.0000
4	2	5	0.4203	2.0000
4	2	6	0.0000	0.0000
4	3	14	0.3213	1.0994
4	4	9	0.2384	1.0000
4	5	5	0.3321	2.0000
4	5	9	0.6144	3.0000
4	6	5	0.1742	1.0000
4	6	18	0.3694	2.1158
4	7	5	35.2570	192.0000
4	7	9	0.4508	2.0000
4	7	19	0.2379	1.0000
4	8	4	85.0256	597.0000
4	8	9	0.2271	1.0000
4	8	10	0.1866	1.0000
4	8	14	0.1126	0.3645
4	9	5	0.1870	1.0000
4	9	6	0.9815	3.0000
4	9	9	0.2293	1.0000
4	9	10	0.0510	0.2703
4	9	11	0.4287	2.0000
4	9	19	0.0000	0.0000
4	9	20	0.0000	0.0000
4	10	5	0.1425	1.0000
4	10	19	0.1874	1.0000
4	11	2	0.0000	0.0000
4	11	10	0.0000	0.0000
4	11	12	2.6366	13.0000
4	12	4	0.1249	1.0000
4	12	5	0.1634	1.0000
4	12	9	0.4034	2.0000
4	12	10	0.1647	1.0000
4	12	12	24.2810	113.0000
4	12	20	0.4799	2.0000
4	13	5	0.2018	1.0000
4	13	6	1.3933	4.0000
4	13	17	0.2639	1.0000
4	14	5	0.3219	1.0000
4	14	7	26.2680	66.0000
4	14	9	0.3804	1.0000
4	14	13	4.9726	12.0000
4	15	17	0.0599	0.2367
4	16	5	0.1670	1.0000
4	16	9	0.6177	3.0000
4	16	10	0.1684	1.0000
4	16	14	0.5657	2.0000
4	16	16	0.1464	1.0000
4	17	1	0.1378	1.0000
4	17	11	0.0000	0.0000
4	17	16	11.4789	78.8869
4	18	14	0.7197	2.0000
4	18	20	3.4753	11.0000
4	19	9	0.4868	2.0000
4	19	14	42.0564	128.0000
4	20	5	0.1879	1.0000
5	1	5	0.0000	0.0000
5	1	8	0.2585	1.0000
5	1	18	0.3958	1.4977
5	1	19	0.0383	0.1153
5	2	2	1.1210	3.0000
