cycle_1_lane	cycle_2_lane	cycle_3_lane	tag_imbalance
1	14	10	1.084555645983945
1	14	11	1.1905648444635786
1	14	12	0.8704328480623026
1	14	13	1.2276549114254356
1	14	14	0.5500378015407298
1	14	15	1.106651856088881
1	14	16	0.980650848466686
1	14	17	1.144794123531925
1	14	18	1.1213826628255048
1	14	19	1.2250244102224668
1	14	20	1.0548309823903999
1	15	1	1.2026823670307911
1	15	2	1.1233571732562335
1	15	3	1.3660173132673799
1	15	4	1.4128629001421187
1	15	5	1.2517140812930176
1	15	6	1.0446565873066727
1	15	7	1.374137214992335
1	15	8	1.1533383488560662
1	15	9	1.204868494418279
1	15	10	1.2876290312303171
1	15	11	1.4134875079671152
1	15	12	1.0334136464567354
1	15	13	1.4575223596293694
1	15	14	0.6530274810338572
1	15	15	1.313862559880171
1	15	16	1.1642689857935056
1	15	17	1.3591466271924182
1	15	18	1.3313515789800734
1	15	19	1.454399320504387
1	15	20	1.2523386891180142
1	16	1	0.8655732132108088
1	16	2	0.8084826922667566
1	16	3	0.9831257425562394
1	16	4	1.0168406171294988
1	16	5	0.9008614485974868
1	16	6	0.7518417029836811
1	16	7	0.9889696541489378
1	16	8	0.8300602119936424
1	16	9	0.8671465740242277
1	16	10	0.9267095191036523
1	16	11	1.0172901487904755
1	16	12	0.7437501330860988
1	16	13	1.048982130889339
1	16	14	0.4699853515512337
1	16	15	0.9455898488646776
1	16	16	0.8379270160607364
1	16	17	0.9781808942854947
1	16	18	0.9581767353720277
1	16	19	1.0467344725844552
1	16	20	0.9013109802584637
1	17	1	0.7377235175297037
1	17	2	0.6890655654516603
1	17	3	0.8379129227927613
1	17	4	0.8666479338624719
1	17	5	0.7677994957826673
1	17	6	0.6407907468545466
1	17	7	0.8428936580448445
1	17	8	0.7074559725362751
1	17	9	0.7390644847129567
1	17	10	0.7898296709361122
1	17	11	0.8670310673434014
1	17	12	0.633894344197816
1	17	13	0.8940419777489294
1	17	14	0.40056605431176584
1	17	15	0.8059212771351503
1	17	16	0.7141608084525409
1	17	17	0.8336984545025371
1	17	18	0.8166490146011752
1	17	19	0.8921263103442819
