cycle_1_lane	cycle_2_lane	cycle_3_lane	fraction_of_000	fraction_of_001	fraction_of_010	fraction_of_011	fraction_of_100	fraction_of_101	fraction_of_110	fraction_of_111
7	8	2	0.0095	0.0145	0.0499	0.0757	0.0541	0.0822	0.2835	0.4306
7	8	3	0.0059	0.0180	0.0311	0.0945	0.0337	0.1026	0.1767	0.5374
7	8	4	0.0052	0.0188	0.0270	0.0986	0.0293	0.1070	0.1536	0.5605
7	8	5	0.0050	0.0189	0.0264	0.0993	0.0286	0.1077	0.1499	0.5642
7	8	6	0.0032	0.0208	0.0168	0.1089	0.0182	0.1181	0.0953	0.6188
7	8	7	0.0072	0.0168	0.0375	0.0881	0.0407	0.0956	0.2133	0.5008
7	8	8	0.0064	0.0175	0.0338	0.0919	0.0366	0.0997	0.1920	0.5221
7	8	9	0.0064	0.0175	0.0337	0.0919	0.0366	0.0997	0.1917	0.5223
7	8	10	0.0049	0.0190	0.0259	0.0997	0.0281	0.1082	0.1474	0.5667
7	8	11	0.0057	0.0183	0.0297	0.0960	0.0322	0.1041	0.1686	0.5455
7	8	12	0.0092	0.0148	0.0483	0.0773	0.0524	0.0839	0.2748	0.4393
7	8	13	0.0039	0.0201	0.0202	0.1055	0.0219	0.1144	0.1147	0.5994
7	8	14	0.0071	0.0169	0.0369	0.0887	0.0401	0.0962	0.2100	0.5041
7	8	15	0.0047	0.0192	0.0249	0.1008	0.0270	0.1093	0.1413	0.5728
7	8	16	0.0066	0.0174	0.0347	0.0909	0.0377	0.0986	0.1973	0.5168
7	8	17	0.0059	0.0181	0.0310	0.0946	0.0337	0.1026	0.1764	0.5377
7	8	18	0.0063	0.0176	0.0332	0.0924	0.0360	0.1003	0.1887	0.5254
7	8	19	0.0115	0.0125	0.0601	0.0655	0.0652	0.0711	0.3417	0.3724
7	8	20	0.0072	0.0168	0.0376	0.0880	0.0408	0.0955	0.2140	0.5001
7	9	1	0.0189	0.0578	0.0179	0.0549	0.1074	0.3288	0.1020	0.3122
7	9	2	0.0305	0.0463	0.0289	0.0439	0.1732	0.2630	0.1644	0.2497
7	9	3	0.0190	0.0578	0.0180	0.0548	0.1079	0.3283	0.1025	0.3117
7	9	4	0.0165	0.0602	0.0157	0.0572	0.0938	0.3424	0.0891	0.3251
7	9	5	0.0161	0.0606	0.0153	0.0576	0.0916	0.3447	0.0869	0.3272
7	9	6	0.0102	0.0665	0.0097	0.0631	0.0582	0.3780	0.0552	0.3589
7	9	7	0.0229	0.0538	0.0218	0.0511	0.1303	0.3060	0.1237	0.2905
7	9	8	0.0206	0.0561	0.0196	0.0533	0.1173	0.3190	0.1113	0.3028
7	9	9	0.0206	0.0561	0.0196	0.0533	0.1171	0.3191	0.1112	0.3029
7	9	10	0.0158	0.0609	0.0150	0.0578	0.0900	0.3462	0.0855	0.3287
7	9	11	0.0181	0.0586	0.0172	0.0557	0.1030	0.3332	0.0978	0.3164
7	9	12	0.0295	0.0472	0.0280	0.0448	0.1679	0.2684	0.1594	0.2548
7	9	13	0.0123	0.0644	0.0117	0.0612	0.0700	0.3662	0.0665	0.3477
7	9	14	0.0226	0.0542	0.0214	0.0514	0.1283	0.3079	0.1218	0.2923
7	9	15	0.0152	0.0616	0.0144	0.0584	0.0863	0.3499	0.0820	0.3322
7	9	16	0.0212	0.0555	0.0201	0.0527	0.1206	0.3157	0.1145	0.2997
7	9	17	0.0190	0.0578	0.0180	0.0549	0.1078	0.3285	0.1023	0.3118
7	9	18	0.0203	0.0565	0.0193	0.0536	0.1153	0.3210	0.1094	0.3047
7	9	19	0.0367	0.0400	0.0349	0.0380	0.2087	0.2275	0.1982	0.2160
7	9	20	0.0230	0.0538	0.0218	0.0510	0.1307	0.3055	0.1241	0.2901
7	10	1	0.0107	0.0326	0.0262	0.0801	0.0606	0.1856	0.1488	0.4554
7	10	2	0.0172	0.0261	0.0422	0.0641	0.0977	0.1484	0.2399	0.3643
7	10	3	0.0107	0.0326	0.0263	0.0800	0.0609	0.1853	0.1495	0.4547
7	10	4	0.0093	0.0340	0.0229	0.0834	0.0530	0.1932	0.1300	0.4742
7	10	5	0.0091	0.0342	0.0223	0.0840	0.0517	0.1945	0.1268	0.4774
7	10	6	0.0058	0.0375	0.0142	0.0921	0.0328	0.2133	0.0806	0.5236
7	10	7	0.0129	0.0304	0.0317	0.0746	0.0735	0.1727	0.1804	0.4238
7	10	8	0.0116	0.0317	0.0286	0.0777	0.0662	0.1800	0.1624	0.4418
7	10	9	0.0116	0.0317	0.0285	0.0778	0.0661	0.1801	0.1622	0.4420
7	10	10	0.0089	0.0344	0.0219	0.0844	0.0508	0.1954	0.1247	0.4795
7	10	11	0.0102	0.0331	0.0251	0.0812	0.0581	0.1881	0.1427	0.4616
7	10	12	0.0167	0.0266	0.0409	0.0654	0.0947	0.1514	0.2325	0.3717
7	10	13	0.0070	0.0364	0.0171	0.0892	0.0395	0.2066	0.0970	0.5072
7	10	14	0.0127	0.0306	0.0313	0.0750	0.0724	0.1738	0.1777	0.4265
7	10	15	0.0086	0.0347	0.0210	0.0853	0.0487	0.1975	0.1196	0.4846
7	10	16	0.0120	0.0313	0.0294	0.0769	0.0680	0.1781	0.1670	0.4372
7	10	17	0.0107	0.0326	0.0263	0.0800	0.0608	0.1854	0.1493	0.4549
7	10	18	0.0114	0.0319	0.0281	0.0782	0.0650	0.1811	0.1596	0.4446
7	10	19	0.0207	0.0226	0.0509	0.0554	0.1178	0.1284	0.2891	0.3151
7	10	20	0.0130	0.0303	0.0319	0.0744	0.0738	0.1724	0.1810	0.4232
